n_trees,criterions,min_splits,bootstrap,error
100.0,gini,2.0,False,0.130952380952
100.0,gini,2.0,True,0.140211640212
100.0,gini,3.0,False,0.142195767196
100.0,gini,3.0,True,0.146825396825
100.0,gini,4.0,False,0.136243386243
100.0,gini,4.0,True,0.154761904762
100.0,gini,5.0,False,0.138227513228
100.0,gini,5.0,True,0.154100529101
100.0,entropy,2.0,False,0.136904761905
100.0,entropy,2.0,True,0.148148148148
100.0,entropy,3.0,False,0.132275132275
100.0,entropy,3.0,True,0.144841269841
100.0,entropy,4.0,False,0.141534391534
100.0,entropy,4.0,True,0.154100529101
100.0,entropy,5.0,False,0.142857142857
100.0,entropy,5.0,True,0.147486772487
500.0,gini,2.0,False,0.136243386243
500.0,gini,2.0,True,0.137566137566
500.0,gini,3.0,False,0.134920634921
500.0,gini,3.0,True,0.141534391534
500.0,gini,4.0,False,0.135582010582
500.0,gini,4.0,True,0.146825396825
500.0,gini,5.0,False,0.135582010582
500.0,gini,5.0,True,0.150793650794
500.0,entropy,2.0,False,0.131613756614
500.0,entropy,2.0,True,0.142857142857
500.0,entropy,3.0,False,0.135582010582
500.0,entropy,3.0,True,0.140873015873
500.0,entropy,4.0,False,0.137566137566
500.0,entropy,4.0,True,0.146164021164
500.0,entropy,5.0,False,0.136904761905
500.0,entropy,5.0,True,0.150793650794
1000.0,gini,2.0,False,0.135582010582
1000.0,gini,2.0,True,0.13955026455
1000.0,gini,3.0,False,0.136243386243
1000.0,gini,3.0,True,0.140873015873
1000.0,gini,4.0,False,0.132936507937
1000.0,gini,4.0,True,0.146825396825
1000.0,gini,5.0,False,0.134920634921
1000.0,gini,5.0,True,0.14880952381
1000.0,entropy,2.0,False,0.133597883598
1000.0,entropy,2.0,True,0.138888888889
1000.0,entropy,3.0,False,0.133597883598
1000.0,entropy,3.0,True,0.142857142857
1000.0,entropy,4.0,False,0.134259259259
1000.0,entropy,4.0,True,0.144841269841
1000.0,entropy,5.0,False,0.137566137566
1000.0,entropy,5.0,True,0.14880952381
2000.0,gini,2.0,False,0.131613756614
2000.0,gini,2.0,True,0.13955026455
2000.0,gini,3.0,False,0.134259259259
2000.0,gini,3.0,True,0.140873015873
2000.0,gini,4.0,False,0.132936507937
2000.0,gini,4.0,True,0.147486772487
2000.0,gini,5.0,False,0.136243386243
2000.0,gini,5.0,True,0.14880952381
2000.0,entropy,2.0,False,0.132936507937
2000.0,entropy,2.0,True,0.138227513228
2000.0,entropy,3.0,False,0.133597883598
2000.0,entropy,3.0,True,0.140873015873
2000.0,entropy,4.0,False,0.132936507937
2000.0,entropy,4.0,True,0.147486772487
2000.0,entropy,5.0,False,0.137566137566
2000.0,entropy,5.0,True,0.147486772487
